"Kód obce" Obec "Voliči v seznamu" "Vydané obálky" "Platné hlasy" Strana/název Celkem
589519 "Horní Štěpánov" 749 454 452 "ROZUMNÍ-stop migraci,diktát.EU" 4
589519 "Horní Štěpánov" 749 454 452 "Strana svobodných občanů" 1
589519 "Horní Štěpánov" 749 454 452 "Blok proti islam.-Obran.domova" 0
589519 "Horní Štěpánov" 749 454 452 "Občanská demokratická aliance" 1
589519 "Horní Štěpánov" 749 454 452 "Česká pirátská strana" 41
589527 Hradčany-Kobeřice 326 196 194 "Občanská demokratická strana" 11
589527 Hradčany-Kobeřice 326 196 194 "Řád národa - Vlastenecká unie" 0
589527 Hradčany-Kobeřice 326 196 194 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589527 Hradčany-Kobeřice 326 196 194 "Česká str.sociálně demokrat." 16
589527 Hradčany-Kobeřice 326 196 194 "Radostné Česko" 0
589527 Hradčany-Kobeřice 326 196 194 "STAROSTOVÉ A NEZÁVISLÍ" 5
589527 Hradčany-Kobeřice 326 196 194 "Komunistická str.Čech a Moravy" 24
589527 Hradčany-Kobeřice 326 196 194 "Strana zelených" 1
589527 Hradčany-Kobeřice 326 196 194 "ROZUMNÍ-stop migraci,diktát.EU" 0
589527 Hradčany-Kobeřice 326 196 194 "Strana svobodných občanů" 1
589527 Hradčany-Kobeřice 326 196 194 "Blok proti islam.-Obran.domova" 1
589527 Hradčany-Kobeřice 326 196 194 "Občanská demokratická aliance" 1
589527 Hradčany-Kobeřice 326 196 194 "Česká pirátská strana" 14
589535 Hrdibořice 178 109 109 "Občanská demokratická strana" 12
589535 Hrdibořice 178 109 109 "Řád národa - Vlastenecká unie" 0
589535 Hrdibořice 178 109 109 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589535 Hrdibořice 178 109 109 "Česká str.sociálně demokrat." 3
589535 Hrdibořice 178 109 109 "Radostné Česko" 0
589535 Hrdibořice 178 109 109 "STAROSTOVÉ A NEZÁVISLÍ" 2
